species,province,count,lat,lon,date,doy
Xenus cinereus,Jiangsu,20,32.564285,121.030732,9/19/2013,261
Charadrius alexandrinus,Jiangsu,2,32.753091,120.951521,5/21/2016,141
Gallinula chloropus,Shanghai,1,30.920507,121.973159,11/2/2017,305
Antigone vipio,Jiangxi,16,29.668063,115.992842,2/7/1991,37
Ardeola bacchus,Shanghai,4,30.920507,121.973159,5/26/2018,145
Charadrius leschenaultii,Guangdong,170,20.532907,110.504651,3/1/2014,59
Anas crecca,Jiangxi,,28.856927,116.167129,2/2/2018,32
Limosa limosa,Jiangsu,12,32.564285,121.030732,9/19/2013,261
Xenus cinereus,Jiangsu,10,32.581667,121.006667,5/3/2014,122
Pluvialis squatarola,Jiangsu,22,32.581667,121.006667,8/22/2015,233
Charadrius dubius,Shanghai,2,30.920507,121.973159,3/5/2017,63
Mareca falcata,Shanghai,350,30.920507,121.973159,3/5/2017,63
Actitis hypoleucos,Guangdong,1,22.194273,113.52544,11/14/2016,318
Pluvialis fulva,Shanghai,1,30.920507,121.973159,9/3/2016,246
Pluvialis squatarola,Jiangsu,25,32.75,120.96,8/31/2018,242
Sterna hirundo,Jiangsu,5,32.75,120.96,4/30/2017,119
Calidris alba,Guangdong,1,20.835952,110.332861,10/17/2017,289
Podiceps cristatus,Shanghai,2,30.920507,121.973159,5/13/2017,132
Ardea intermedia,Shanghai,2,30.920507,121.973159,10/1/2018,273
Platalea leucorodia,Shanghai,6,30.89183,121.902189,10/15/2016,288
Arenaria interpres,Shanghai,5,31.297333,121.859434,4/26/2017,115
Tachybaptus ruficollis,Shanghai,8,30.729147,121.37219,1/29/2017,28
Ciconia boyciana,Jiangxi,50,29.173488,115.981259,12/29/2018,362
Anser fabalis,Jiangxi,,29.136537,115.966503,12/11/2012,345
Nycticorax nycticorax,Shanghai,7,30.920507,121.973159,12/15/2016,349
Podiceps cristatus,Jiangsu,8,34.647585,119.261001,2/28/2016,58
Phalacrocorax carbo,Shanghai,,30.920507,121.973159,3/27/2016,86
Charadrius leschenaultii,Zhejiang,1,30.64273,122.061938,4/30/2016,120
Ardeola bacchus,Jiangsu,5,32.581667,121.006667,5/1/2014,120
Calidris acuminata,Jiangsu,14,32.304181,121.177805,4/17/2014,106
Tachybaptus ruficollis,Jiangsu,2,32.576717,121.004878,10/25/2018,297
Nycticorax nycticorax,Zhejiang,1,30.962228,120.104642,1/28/2018,27
Ardeola bacchus,Guangdong,2,22.326559,113.447163,2/21/2018,51
Charadrius alexandrinus,Jiangsu,3,32.545022,121.092769,5/22/2016,142
Numenius phaeopus,Shanghai,1,30.920507,121.973159,10/6/2018,278
Tringa brevipes,Jiangsu,60,32.539098,121.112838,5/21/2016,141
Numenius arquata,Jiangsu,50,32.75,120.96,8/21/2016,233
Recurvirostra avosetta,Jiangsu,1,32.581667,121.006667,5/5/2015,124
Tringa nebularia,Shanghai,3,30.920507,121.973159,9/17/2016,260
Tachybaptus ruficollis,Shanghai,5,30.920507,121.973159,7/31/2017,211
Ardeola bacchus,Zhejiang,2,30.270709,120.078047,4/20/2011,109
Tachybaptus ruficollis,Jiangxi,4,29.197831,117.846857,12/11/2014,344
Calidris acuminata,Jiangsu,5,32.75,120.96,8/11/2017,222
Gallinula chloropus,Shanghai,,31.49514,121.964722,4/25/2015,114
Ardea cinerea,Shanghai,10,31.49514,121.964722,12/27/2014,360
Sternula albifrons,Jiangsu,10,32.75,120.96,4/30/2014,119
Tadorna tadorna,Jiangsu,1,32.75,120.96,4/19/2015,108
Charadrius alexandrinus,Guangdong,14,22.822944,115.564306,5/1/2016,121
Charadrius alexandrinus,Shanghai,40,30.81801,121.556897,2/21/2016,51
Anas platyrhynchos,Guangdong,1,22.935564,116.50276,12/23/2014,356
Amaurornis phoenicurus,Guangdong,1,22.614055,113.635714,1/11/2015,10
Tachybaptus ruficollis,Shanghai,8,30.920507,121.973159,9/17/2016,260
Nycticorax nycticorax,Zhejiang,1,30.092044,122.025704,7/16/2010,196
Podiceps cristatus,Jiangsu,2,34.829753,119.192691,2/28/2016,58
Ixobrychus sinensis,Shanghai,1,30.920507,121.973159,9/24/2016,267
Ardeola bacchus,Jiangsu,1,31.317991,120.709362,9/5/2015,247
Gallinula chloropus,Jiangxi,2,28.760197,116.397312,1/13/2018,12
Tringa nebularia,Zhejiang,1,29.310052,120.019326,4/3/2010,92
Tringa ochropus,Jiangsu,1,32.576717,121.004878,4/17/2017,106
Anas acuta,Shanghai,,30.920507,121.973159,10/30/2016,303
Gallinula chloropus,Shanghai,5,30.920507,121.973159,4/28/2017,117
Ardeola bacchus,Jiangxi,14,29.32288,117.88673,5/8/2016,128
Gallinula chloropus,Jiangxi,,28.870571,116.43317,6/13/2015,163
Mergus squamatus,Jiangxi,5,29.248101,117.86371,12/31/2016,365
Chlidonias leucopterus,Jiangsu,1,32.561991,121.040156,8/26/2018,237
Mareca penelope,Shanghai,5,30.920507,121.973159,9/24/2016,267
Chlidonias hybrida,Jiangsu,2,32.260028,118.680797,5/26/2018,145
Tachybaptus ruficollis,Shanghai,2,30.901893,121.976287,11/10/2018,313
Tringa nebularia,Shanghai,10,31.313462,121.876574,11/12/2016,316
Xenus cinereus,Jiangsu,69,32.75,120.96,9/22/2018,264
Fulica atra,Shanghai,1,31.215664,121.545353,11/26/2017,329
Mergus merganser,Jiangsu,1,31.211081,119.7519,2/2/2017,32
Charadrius alexandrinus,Guangdong,12,21.617138,111.788421,5/22/2014,141
Tringa brevipes,Guangdong,3,22.822944,115.564306,5/1/2016,121
Fulica atra,Jiangsu,1000,32.75,120.96,11/23/2018,326
Ardeola bacchus,Jiangsu,1,31.301263,120.572851,9/16/2015,258
Tringa stagnatilis,Shanghai,5,30.901893,121.976287,4/15/2018,104
Egretta garzetta,Guangdong,4,20.883223,110.188276,12/30/2017,363
Grus monacha,Jiangxi,130,28.870571,116.43317,1/10/2015,9
Nycticorax nycticorax,Shanghai,,31.511925,121.901979,12/25/2006,358
Anas crecca,Shanghai,20,30.920507,121.973159,12/31/2018,364
Ciconia boyciana,Jiangxi,2075,28.870571,116.43317,12/26/2009,359
Antigone vipio,Jiangxi,,28.856927,116.167129,2/2/2018,32
Ardeola bacchus,Jiangsu,7,33.042097,120.840031,6/16/2013,166
Anas crecca,Jiangsu,4,33.602272,120.507223,12/1/2017,334
Charadrius alexandrinus,Shanghai,5,30.920507,121.973159,5/10/2018,129
Phalacrocorax carbo,Shanghai,20,30.920507,121.973159,2/14/2018,44
Ardeola bacchus,Guangdong,12,21.404843,110.706158,11/13/2017,316
Gallinula chloropus,Jiangxi,6,29.307588,117.880575,1/11/2018,10
Aythya ferina,Jiangxi,6,28.901525,116.251963,11/26/2016,330
Cygnus columbianus,Shanghai,24,30.920507,121.973159,12/10/2016,344
